client_id,client_type,age_band,gender,region,signup_month,first_trip_date,last_trip_date,days_since_last_trip,lifetime_trips,trips_last_12m,lifetime_spend,spend_last_12m,avg_spend_per_trip,avg_lead_time_days,trips_one_way,trips_round_trip,trips_multi_leg,preferred_aircraft_category,nps_response,website_visits_last_30d
C-9E3933334860,Individual,55-64,F,Unknown,2017-02-01,2024-01-27,2026-01-03,28,8,5,295758.54,239577.47,36969.82,11.0,6,2,0,Heavy Jet,,4
C-BC0AE318081E,Individual,45-54,F,South,2017-02-01,2024-01-16,2026-01-28,3,15,8,329036.33999999997,204806.25,21935.76,2.2,11,4,0,Light Jet,,4
C-A9FCE5569FB0,Individual,55-64,F,Northeast,2017-02-01,2024-01-11,2026-01-30,1,18,7,623216.02,248379.81,34623.11,11.7,8,8,2,Light Jet,,6
C-F9F115E68234,Individual,65+,M,South,2023-10-01,2024-10-13,2024-10-13,475,1,0,12155.21,0.0,12155.21,26.0,1,0,0,Super Mid,,4
C-60BBF63644EA,Individual,45-54,M,West,2017-04-01,2024-04-26,2024-04-26,645,1,0,11572.57,0.0,11572.57,1.0,1,0,0,Light Jet,,5
C-60B8238DB936,Individual,45-54,M,International,2018-04-01,2024-01-07,2025-10-30,93,15,5,397021.7,115576.89,26468.11,2.5,10,5,0,Super Mid,,2
C-AB2780184487,Individual,65+,Unknown,South,2017-09-01,2024-01-01,2026-01-26,5,13,4,337469.82,81891.3,25959.22,16.0,9,4,0,Light Jet,,4
C-4249E8FF59DD,Business,55-64,Unknown,Midwest,2017-03-01,2024-12-28,2025-10-21,102,2,1,99674.8,39734.22,49837.4,84.0,1,1,0,Ultra Long Range,,6
C-03A5325CBAA5,Individual,45-54,F,South,2017-03-01,2025-02-15,2025-02-15,350,1,1,33249.38,33249.38,33249.38,24.0,1,0,0,Ultra Long Range,,5
C-E53039E69DF6,Individual,55-64,M,International,2017-04-01,2024-05-10,2025-08-02,182,7,5,276728.13,142541.29,39532.59,3.7,3,4,0,Midsize,,3
C-4B6A2D2217F6,Individual,45-54,M,West,,2024-12-22,2025-12-21,41,3,2,309203.92,195216.6,103067.97,70.3,0,1,2,Super Mid,,4
C-11D2194B10BE,Individual,45-54,M,West,2017-06-01,2024-02-09,2025-09-22,131,15,4,345647.16,139047.98,23043.14,13.3,3,5,7,Heavy Jet,,4
C-6D45F12B810C,Individual,45-54,F,South,2017-05-01,2024-02-24,2025-10-16,107,3,1,118555.52,51062.58,39518.51,17.0,0,3,0,Heavy Jet,,3
C-E00840F0DA31,Individual,25-34,M,Unknown,2020-10-01,2024-05-20,2026-01-15,16,17,15,317700.19,275738.26,18688.25,7.3,4,13,0,Midsize,,6
C-8C5AF2D4D544,Individual,25-34,M,West,2017-06-01,2024-02-07,2026-01-05,26,17,14,465379.68,419460.26,27375.28,17.0,3,13,1,Heavy Jet,6.0,5
C-54CFB0FFBDEF,Individual,45-54,M,South,2017-12-01,2025-07-07,2025-12-25,37,2,2,95523.1,95523.1,47761.55,,1,0,1,Midsize,,4
C-6B5426D1B303,Individual,35-44,M,Midwest,2017-12-01,2025-01-04,2025-07-20,195,3,2,54840.28,39428.73,18280.09,21.7,1,2,0,Ultra Long Range,,4
C-365E13C27F2F,Individual,55-64,M,South,2019-10-01,2024-01-08,2026-01-05,26,6,1,334563.54000000004,75032.72,55760.59,22.8,1,5,0,Super Mid,10.0,6
C-7FF3A20A9F5B,Business,35-44,M,Midwest,2017-10-01,2025-01-06,2025-01-23,373,2,0,40913.490000000005,0.0,20456.75,,1,1,0,Midsize,,1
C-46635D2F94A7,Business,25-34,Unknown,South,2020-11-01,2024-12-29,2024-12-29,398,1,0,14163.72,0.0,14163.72,60.0,1,0,0,Heavy Jet,,4
C-925D10FE0824,Individual,65+,M,West,2017-10-01,2024-05-09,2026-01-30,1,12,6,321535.91000000003,156449.76,26794.66,12.3,0,6,6,Midsize,1.0,7
C-91AE29C41CB1,Business,45-54,F,Northeast,2024-08-01,2024-10-20,2025-11-29,63,7,4,123747.43,79627.7,17678.2,20.0,7,0,0,Light Jet,2.0,3
C-F30CC9522C5B,Individual,45-54,M,South,2017-10-01,2024-11-01,2025-12-19,43,7,5,104622.70999999999,64465.5,14946.1,31.7,2,4,1,Midsize,,3
C-16CBAF4FC375,Individual,35-44,M,South,2017-10-01,2024-05-05,2025-05-30,246,3,1,42546.14,14541.8,14182.05,4.0,3,0,0,Midsize,,3
C-449D9A653335,Individual,45-54,M,South,2017-10-01,2024-05-03,2025-09-24,129,8,5,148334.99,89240.64,18541.87,40.2,8,0,0,Super Mid,,3
C-BFCBCEE2A6CE,Individual,45-54,M,Northeast,2017-10-01,2024-05-16,2025-11-09,83,3,1,31999.25,9547.1,10666.42,14.7,3,0,0,Super Mid,,5
C-C09240461E00,Individual,35-44,M,South,2017-10-01,2024-02-15,2025-02-19,346,6,1,127144.09,20317.25,21190.68,10.7,3,3,0,Light Jet,,3
C-C558C90ED5B6,Individual,55-64,M,Northeast,2017-10-01,2025-04-26,2025-06-16,229,2,2,18776.35,18776.35,9388.17,24.0,2,0,0,Heavy Jet,2.0,6
C-C5E2113ED173,Business,35-44,Unknown,South,2017-10-01,2025-06-09,2025-11-07,85,5,5,107140.07,107140.07,21428.01,28.8,2,3,0,Heavy Jet,,5
C-F47E4D093301,Individual,45-54,F,South,2017-10-01,2024-05-02,2025-12-29,33,4,2,95210.98,34321.23,23802.74,12.8,2,2,0,Midsize,3.0,4
C-B503CA07D6F8,Individual,45-54,F,West,2017-10-01,2024-03-20,2025-06-22,223,8,2,91916.61,24314.41,11489.58,13.2,8,0,0,Midsize,6.0,3
C-C40E490F7863,Business,65+,M,South,2017-10-01,2024-02-29,2025-10-22,101,9,3,281952.43,93145.48,31328.05,31.4,9,0,0,Heavy Jet,,4
C-6B4BC563C24E,Individual,45-54,M,Midwest,2017-10-01,2024-03-22,2024-03-22,680,2,0,19335.46,0.0,9667.73,28.0,2,0,0,Midsize,4.0,7
C-D050FD002E3C,Individual,35-44,M,Midwest,2017-10-01,2024-01-03,2026-01-22,9,17,6,428557.89,128445.58,25209.29,5.1,2,15,0,Super Mid,7.0,3
C-3DA724771B8A,Individual,55-64,M,West,2017-10-01,2024-01-21,2025-12-01,61,11,5,147362.82,71119.06,13396.62,9.5,10,1,0,Light Jet,8.0,2
C-78649EA06DD1,Individual,35-44,Unknown,Northeast,2017-10-01,2024-02-18,2026-01-21,10,43,29,1793313.55,1345419.61,41704.97,8.1,20,19,4,Midsize,,4
C-7D6E8BA83586,Individual,45-54,M,Midwest,2017-10-01,2024-03-03,2025-12-04,58,19,9,411680.53,198768.95,21667.4,14.4,6,12,1,Midsize,,1
C-064D7C596273,Business,25-34,F,South,2017-11-01,2024-03-17,2024-03-17,685,1,0,27954.7,0.0,27954.7,3.0,0,1,0,Light Jet,1.0,3
C-FDECDE3D192A,Business,25-34,Unknown,South,2017-04-01,2024-05-31,2025-12-04,58,11,6,461779.7,218529.3,41979.97,34.6,5,5,1,Heavy Jet,,4
C-7FA07AB899B4,Individual,45-54,F,South,2018-06-01,2024-01-04,2025-06-17,228,6,2,421250.41000000003,83148.46,70208.4,48.3,2,3,1,Light Jet,,4
C-20486661CD68,Individual,55-64,M,West,,2024-05-01,2025-10-30,93,3,2,36975.479999999996,24911.13,12325.16,9.7,3,0,0,Midsize,,2
C-A80C7F1DE4F3,Business,45-54,,South,2018-06-01,2024-06-09,2025-08-25,159,4,2,117666.2,57785.0,29416.55,11.8,1,3,0,Light Jet,6.0,2
C-D6DB560E9A96,Individual,45-54,M,Northeast,2017-12-01,2025-03-14,2025-04-22,284,2,2,54521.46,54521.46,27260.73,42.5,0,2,0,Midsize,0.0,5
C-619BD33806DE,Individual,45-54,M,Unknown,2017-12-01,2024-03-31,2025-11-30,62,7,6,91083.37,78612.82,13011.91,6.3,5,2,0,Heavy Jet,8.0,5
C-18C8214AAF4B,Individual,35-44,,Midwest,2017-12-01,2024-02-21,2025-02-06,359,3,1,130342.1,47393.87,43447.37,,0,3,0,Midsize,,4
C-F9D378E038EE,Individual,35-44,M,Northeast,2019-12-01,2024-01-01,2025-12-28,34,5,2,258520.13999999998,108097.33,51704.03,40.4,2,3,0,Heavy Jet,7.0,5
C-F5FA98B39466,Individual,45-54,M,South,2017-12-01,2024-10-29,2025-07-26,189,3,1,100110.38,34796.23,33370.13,1.7,2,1,0,Light Jet,4.0,3
C-6FF28AD4D3B5,Individual,55-64,M,Midwest,2018-01-01,2024-04-03,2025-10-13,110,5,3,185675.8,104234.08,37135.16,10.8,2,3,0,Light Jet,,3
C-F85B7E21B40D,Individual,55-64,M,Northeast,2023-04-01,2024-04-26,2024-07-23,557,2,0,29132.53,0.0,14566.26,37.0,1,1,0,Heavy Jet,,3
C-D6D2A5E93453,Individual,25-34,M,South,2018-06-01,2024-04-19,2024-09-12,506,3,0,46938.46,0.0,15646.15,21.0,2,1,0,Super Mid,6.0,2
C-E1674EC6FE54,Individual,55-64,M,South,2018-03-01,2024-05-02,2024-05-02,639,1,0,29677.64,0.0,29677.64,90.0,0,1,0,Super Mid,,3
C-1A10ABB99AE2,Individual,45-54,F,Midwest,2018-06-01,2024-02-04,2026-01-27,4,50,30,1270686.29,723352.78,25413.73,18.4,28,20,2,Midsize,,2
C-72D2D23822C9,Individual,45-54,F,West,2018-10-01,2024-03-09,2024-03-09,693,1,0,69284.64,0.0,69284.64,44.0,0,1,0,Midsize,2.0,2
C-0547D1C59C73,Individual,55-64,M,Midwest,2024-10-01,2024-10-04,2024-10-04,484,1,0,72634.17,0.0,72634.17,56.0,0,0,1,Heavy Jet,3.0,4
C-4F77C526CE80,Business,55-64,M,Midwest,2018-04-01,2024-06-06,2024-09-26,492,2,0,19663.739999999998,0.0,9831.87,18.0,2,0,0,Midsize,9.0,7
C-2A6BE45F972D,Individual,55-64,M,Northeast,2018-06-01,2024-08-04,2025-04-07,299,3,2,83083.51000000001,63646.22,27694.5,43.0,0,3,0,Midsize,,4
C-805A3D22D499,Individual,35-44,M,Northeast,,2024-03-06,2025-12-30,32,13,3,336157.43,164790.06,25858.26,,10,3,0,Super Mid,9.0,3
C-DB48C63C569B,Business,45-54,Unknown,Northeast,2018-05-01,2024-01-26,2024-11-23,434,15,0,473989.61,0.0,31599.31,6.8,9,4,2,Midsize,,4
C-E8D53A71C2A8,Individual,55-64,M,South,2018-05-01,2024-02-26,2025-12-12,50,14,5,255173.59,68224.17,18226.69,20.1,10,4,0,Super Mid,,2
C-6D143B0AC871,Individual,55-64,Unknown,Northeast,2018-05-01,2024-07-13,2025-12-02,60,6,3,106161.25,50406.65,17693.54,59.3,6,0,0,Super Mid,,2
C-E44DE51A0E29,Individual,45-54,M,West,2018-05-01,2024-02-20,2024-12-12,415,2,0,35067.0,0.0,17533.5,12.5,2,0,0,Midsize,0.0,2
C-C413EC61D9E5,Individual,45-54,M,West,2018-05-01,2024-03-21,2025-04-11,295,6,1,205704.09,39524.71,34284.02,,2,4,0,Ultra Long Range,,5
C-E8D1400CE20A,Individual,35-44,F,Midwest,2018-07-01,2024-07-02,2024-07-02,578,1,0,96375.58,0.0,96375.58,6.0,0,1,0,Super Mid,,5
C-ABC7971D50D1,Individual,35-44,F,Northeast,2018-06-01,2024-08-20,2025-09-08,145,11,10,134218.45,97931.79,12201.68,31.1,8,3,0,Ultra Long Range,,3
C-1946B8279B9C,Individual,55-64,F,West,2024-05-01,2024-05-10,2024-05-10,631,1,0,10920.63,0.0,10920.63,28.0,1,0,0,Heavy Jet,,0
C-CA21CF4C6E18,Individual,65+,F,West,,2024-01-03,2025-11-26,66,8,2,346973.72,80771.31,43371.72,72.1,7,1,0,Midsize,,2
C-7B8658B1B8B9,Individual,45-54,M,Northeast,2024-04-01,2024-08-15,2026-01-31,0,5,4,119568.27,84323.95,23913.65,73.6,3,2,0,Super Mid,,7
C-30AE7706BBC7,Individual,55-64,F,West,2022-03-01,2024-01-05,2025-12-15,47,14,8,239235.31,141791.42,17088.24,10.7,6,8,0,Light Jet,,3
C-3F55EB66DDC6,Individual,55-64,M,South,2019-05-01,2024-03-16,2024-03-19,683,3,0,61118.7,0.0,20372.9,0.0,3,0,0,Light Jet,2.0,6
C-AAA4EFD0041B,Individual,45-54,F,Northeast,2018-11-01,2024-02-19,2025-10-31,92,2,1,52166.24,22379.32,26083.12,3.5,2,0,0,Super Mid,9.0,5
C-32FAEA1F7AD2,Individual,55-64,M,South,2018-11-01,2024-09-14,2024-09-14,504,1,0,18565.29,0.0,18565.29,9.0,0,1,0,Super Mid,,7
C-B92DA224C49A,Individual,65+,F,Northeast,2018-11-01,2024-01-05,2026-01-12,19,40,19,1871796.99,902100.46,46794.92,40.0,4,34,2,Midsize,,4
C-E014CCF87753,Individual,45-54,M,Northeast,2024-11-01,2025-01-18,2025-04-18,288,2,1,62788.7,37266.13,31394.35,39.0,0,2,0,Ultra Long Range,,1
C-3D9A8D06D7F8,Individual,65+,M,West,2019-01-01,2025-02-05,2025-02-05,360,1,1,29381.13,29381.13,29381.13,4.0,1,0,0,Light Jet,,2
C-DFEBABC16E7F,Individual,25-34,M,International,2019-01-01,2024-04-20,2025-10-23,100,10,9,197061.21,181038.36,19706.12,9.2,6,3,1,Midsize,,3
C-5A41C7C973AD,Individual,55-64,F,West,2019-01-01,2024-11-22,2024-11-22,435,1,0,39446.24,0.0,39446.24,7.0,0,0,1,Light Jet,,2
C-55A014620D9C,Individual,45-54,M,West,2019-02-01,2024-01-25,2025-11-08,84,24,11,319477.86,161232.1,13311.58,6.0,22,1,1,Midsize,2.0,2
C-6D7B2FE3A3D4,Business,45-54,M,Northeast,2022-02-01,2024-02-14,2024-10-11,477,4,0,118552.28,0.0,29638.07,10.2,0,4,0,Ultra Long Range,,1
C-A92D7BFC4E36,Business,45-54,M,West,2019-03-01,2024-03-11,2026-01-14,17,9,4,196381.87,84778.73,21820.21,10.8,7,2,0,Midsize,,0
C-53FB44C6B913,Individual,25-34,M,South,2019-03-01,2025-01-03,2025-02-13,352,2,1,27485.129999999997,12183.22,13742.56,19.5,2,0,0,Midsize,10.0,4
C-6429FB5DB100,Individual,45-54,F,South,2019-03-01,2025-05-21,2025-05-21,255,1,1,14359.4,14359.4,14359.4,,1,0,0,Midsize,6.0,3
C-DCAEDCB7D913,Individual,55-64,M,Northeast,2019-04-01,2024-09-16,2025-06-10,235,2,1,27343.65,11706.26,13671.82,5.0,1,1,0,Heavy Jet,,4
C-66A0EE939642,Individual,65+,,Northeast,2019-04-01,2024-01-23,2026-01-28,3,107,54,2559251.79,1469475.02,23918.24,7.2,53,49,5,Ultra Long Range,1.0,5
C-29476028F299,Business,35-44,M,South,,2024-04-15,2025-04-02,304,4,1,107348.61,7149.17,26837.15,9.8,4,0,0,Midsize,,4
C-4045C4D996C9,Individual,35-44,M,South,2019-04-01,2024-05-12,2025-06-27,218,2,1,418294.1,239597.0,209147.05,4.0,2,0,0,Midsize,6.0,6
C-2737DF406670,Individual,45-54,F,South,2020-08-01,2024-12-22,2024-12-22,405,1,0,15153.49,0.0,15153.49,32.0,0,1,0,Heavy Jet,,8
C-24142FCF9406,Business,55-64,Unknown,Unknown,2019-08-01,2024-09-20,2024-09-20,498,1,0,20449.07,0.0,20449.07,3.0,1,0,0,Heavy Jet,0.0,4
C-435FC9BB3817,Business,45-54,F,Northeast,2019-05-01,2024-01-22,2025-10-27,96,23,10,528003.73,206489.73,22956.68,11.0,2,5,16,Light Jet,6.0,2
C-CA384772D16C,Business,35-44,Unknown,Northeast,2019-06-01,2025-09-11,2025-09-20,133,2,2,88287.43,88287.43,44143.72,9.5,1,1,0,Midsize,,2
C-73D3515D4814,Individual,55-64,F,South,2019-05-01,2024-04-16,2025-11-09,83,3,2,81572.39,55168.19,27190.8,9.0,0,3,0,Super Mid,,4
C-3631E691E0B8,Individual,45-54,M,West,2019-06-01,2024-01-21,2026-01-06,25,15,5,225185.09,88725.28,15012.34,27.3,14,1,0,Light Jet,3.0,1
C-BB1E6462DFF0,Individual,55-64,Unknown,South,2019-06-01,2024-02-21,2025-11-06,86,18,6,735634.11,288998.3,40868.56,6.4,14,4,0,Midsize,1.0,0
C-CC3CC0F3DA29,Individual,35-44,Unknown,South,2020-11-01,2024-05-29,2024-12-11,416,2,0,27867.79,0.0,13933.9,,0,2,0,Ultra Long Range,,4
C-C798D2B1DFE6,Individual,45-54,M,Northeast,2019-10-01,2024-11-27,2025-12-02,60,5,3,300656.5,179677.93,60131.3,46.0,4,1,0,Ultra Long Range,,2
C-80ACF41EAE2B,Individual,45-54,M,South,2019-07-01,2025-06-29,2025-11-16,76,5,5,89427.73,89427.73,17885.55,18.2,1,4,0,Super Mid,7.0,3
C-8920A7D3B6D7,Individual,35-44,F,South,2020-06-01,2024-10-18,2024-10-18,470,1,0,37973.36,0.0,37973.36,2.0,1,0,0,Midsize,,5
C-D071A3A88D46,Individual,45-54,M,South,2019-07-01,2025-06-29,2025-12-23,39,4,4,75715.47,75715.47,18928.87,28.8,3,1,0,Midsize,5.0,3
C-B130713213F0,Individual,45-54,M,South,2019-09-01,2024-04-12,2024-04-12,659,2,0,21039.36,0.0,10519.68,71.0,0,2,0,Light Jet,,4
C-B7A8EFF37CA2,Individual,45-54,M,South,2020-12-01,2024-03-07,2024-09-16,502,3,0,49379.9,0.0,16459.97,4.0,0,3,0,Ultra Long Range,,6
C-8C7ED3CD92CA,Individual,45-54,M,Northeast,2023-08-01,2024-05-19,2024-05-27,614,2,0,46068.41,0.0,23034.2,,1,1,0,Ultra Long Range,,1
C-FD355524FAC7,Individual,35-44,F,West,2019-09-01,2024-03-16,2025-08-27,157,9,5,156893.04,80526.22,17432.56,,4,5,0,Heavy Jet,,6
C-E456D5FDE28A,Individual,45-54,F,Northeast,2021-12-01,2024-11-27,2025-05-22,254,3,1,70235.0,25478.38,23411.67,14.0,1,2,0,Heavy Jet,,3
C-6FAFFC670AAF,Individual,45-54,F,Northeast,2021-06-01,2024-02-27,2024-08-22,527,2,0,37605.88,0.0,18802.94,24.0,2,0,0,Midsize,4.0,8
C-C74E3AC43A36,Individual,35-44,,South,2019-10-01,2024-01-04,2024-09-16,502,2,0,57900.44,0.0,28950.22,27.5,1,1,0,Heavy Jet,,2
C-6D8E3475631E,Individual,45-54,M,International,2024-05-01,2024-05-29,2025-08-21,163,13,5,183007.62,51709.77,14077.51,9.2,11,2,0,Light Jet,8.0,1
C-F3292236F9DC,Individual,55-64,M,Northeast,2021-10-01,2024-06-09,2025-06-05,240,2,1,42558.66,25694.06,21279.33,13.5,2,0,0,Light Jet,,5
C-A8CE8CD27129,Business,65+,Unknown,South,2020-10-01,2024-02-15,2025-10-23,100,12,8,262215.37,174929.41,21851.28,40.6,1,11,0,Light Jet,,5
C-E465ED8F4BCD,Individual,45-54,M,West,2019-12-01,2024-08-28,2026-01-10,21,7,5,103245.5,62369.91,14749.36,27.9,3,4,0,Light Jet,1.0,8
C-788B65502A5A,Individual,45-54,F,South,2019-10-01,2024-08-25,2024-08-25,524,1,0,32567.97,0.0,32567.97,11.0,1,0,0,Light Jet,9.0,4
C-E4E51F43D06B,Individual,45-54,M,Northeast,2021-10-01,2024-05-07,2025-10-25,98,21,7,442076.52,117070.26,21051.26,15.8,15,6,0,Super Mid,,2
C-DA99F4193323,Individual,25-34,M,Northeast,2025-03-01,2025-03-08,2025-03-08,329,1,1,9712.12,9712.12,9712.12,8.0,1,0,0,Light Jet,,0
C-5FB60A472B3C,Individual,45-54,F,Midwest,2019-11-01,2024-04-04,2025-11-22,70,4,2,77003.99,38901.75,19251.0,11.0,4,0,0,Midsize,7.0,5
C-471FB20CC4CA,Individual,45-54,M,Northeast,2025-02-01,2025-02-17,2025-08-17,167,3,3,36244.35,36244.35,12081.45,1.7,1,2,0,Light Jet,,2
C-C19876CDE91C,Business,65+,Unknown,West,2019-12-01,2024-01-09,2026-01-15,16,73,36,1765298.84,1027581.88,24182.18,13.2,23,40,10,Ultra Long Range,,2
C-292B2FDEFB6D,Individual,45-54,Other,Unknown,2019-12-01,2024-01-12,2026-01-25,6,40,21,1546995.63,663665.91,38674.89,,27,13,0,Midsize,10.0,4
C-EEBBD242415B,Individual,55-64,M,South,2020-01-01,2024-05-16,2024-05-16,625,1,0,21058.45,0.0,21058.45,0.0,1,0,0,Super Mid,,4
C-6D02A9D3AB40,Business,45-54,,South,2020-01-01,2025-06-15,2025-09-11,142,2,2,31157.729999999996,31157.73,15578.86,59.5,1,1,0,Super Mid,,3
C-5DF3FCEC1903,Individual,35-44,M,Northeast,2020-06-01,2024-08-30,2024-08-30,519,1,0,9730.57,0.0,9730.57,0.0,1,0,0,Midsize,2.0,3
C-46E6D6AAF09E,Individual,55-64,Unknown,Northeast,2020-01-01,2025-10-22,2025-10-22,101,1,1,80768.36,80768.36,80768.36,50.0,0,1,0,Light Jet,,0
C-7629149B8DD8,Individual,55-64,M,Northeast,2020-01-01,2024-05-23,2025-11-30,62,4,3,59321.06,42228.07,14830.26,20.8,4,0,0,Heavy Jet,,2
C-1A29995E47E4,Individual,55-64,M,Midwest,2020-02-01,2024-02-14,2025-02-10,355,6,1,90969.4,10881.74,15161.57,8.5,4,2,0,Heavy Jet,5.0,4
C-EE5F2AA81B93,Individual,35-44,,West,2020-02-01,2024-12-13,2024-12-13,414,1,0,43547.48,0.0,43547.48,11.0,0,1,0,Super Mid,,1
C-0E9F5CD508D2,Individual,65+,F,West,2020-03-01,2024-03-13,2025-09-13,140,13,5,223267.64,95530.25,17174.43,27.6,10,3,0,Light Jet,,5
C-802B9F144E52,Individual,35-44,M,South,2020-03-01,2024-01-03,2025-07-10,205,8,1,164622.68,18349.32,20577.84,11.6,7,1,0,Midsize,,4
C-0B8C8B7D0CBF,Individual,55-64,F,Midwest,2020-02-01,2024-01-02,2025-12-27,35,12,7,229674.27,143725.95,19139.52,10.0,6,6,0,Midsize,10.0,3
C-5741E1D98473,Individual,65+,Other,International,2023-10-01,2024-06-23,2025-06-21,224,2,1,84566.23,40660.35,42283.12,96.5,2,0,0,Light Jet,8.0,9
C-F531CC713BD6,Business,35-44,M,Midwest,2020-04-01,2024-01-16,2025-05-04,272,9,3,296005.29000000004,104038.88,32889.48,32.8,3,6,0,Super Mid,7.0,1
C-1AD0800F3D6E,Business,35-44,M,South,2020-01-01,2024-08-31,2026-01-27,4,46,32,1147473.54,843304.9,24945.08,10.1,18,26,2,Super Mid,10.0,8
C-EEA1EFB04A2B,Individual,45-54,Unknown,West,2021-03-01,2024-01-27,2024-01-27,735,1,0,5883.56,0.0,5883.56,0.0,1,0,0,Midsize,,3
C-26D3220E976F,Individual,45-54,M,South,2020-10-01,2025-06-09,2025-12-24,38,4,4,67427.06,67427.06,16856.76,,1,3,0,Midsize,,2
C-525CE9AA1347,Individual,35-44,F,South,2020-06-01,2025-02-14,2025-02-14,351,1,1,14601.45,14601.45,14601.45,0.0,1,0,0,Midsize,,6
C-83A1A0534879,Individual,45-54,M,South,2020-03-01,2024-01-31,2026-01-23,8,22,13,987406.53,641024.99,44882.12,6.9,13,9,0,Light Jet,,2
C-F0265B83F792,Individual,35-44,M,West,2020-03-01,2025-11-12,2025-11-12,80,1,1,25810.26,25810.26,25810.26,29.0,0,1,0,Light Jet,,7
C-37F6D8FBD99D,Individual,55-64,F,West,2020-04-01,2024-04-16,2024-04-16,655,1,0,18289.42,0.0,18289.42,20.0,1,0,0,Midsize,,4
C-F95CAD2AE259,Individual,35-44,M,South,2020-04-01,2024-06-19,2026-01-02,29,12,10,260955.26,218604.81,21746.27,,10,2,0,Heavy Jet,,2
C-90F748654B1B,Individual,65+,M,Northeast,2020-04-01,2024-03-10,2025-12-28,34,13,7,218683.35,124012.96,16821.8,6.1,11,2,0,Midsize,,3
C-C7591381E5C9,Individual,35-44,M,Northeast,2020-06-01,2024-02-25,2025-09-24,129,12,8,669610.0,404275.98,55800.83,33.8,4,8,0,Light Jet,,1
C-9A59908043DB,Individual,45-54,M,Northeast,2020-04-01,2024-03-16,2025-03-14,323,5,2,77276.54000000001,27490.3,15455.31,89.2,2,3,0,Midsize,9.0,7
C-F83B27C97C18,Individual,55-64,M,South,2020-06-01,2024-01-28,2024-05-04,637,2,0,54457.79,0.0,27228.9,0.0,2,0,0,Ultra Long Range,,4
C-DD5F7B987761,Individual,35-44,M,Northeast,,2024-10-15,2024-10-15,473,1,0,22647.65,0.0,22647.65,,1,0,0,Light Jet,,5
C-1C676B5BCB4C,Individual,45-54,Unknown,West,2020-05-01,2024-01-15,2026-01-29,2,19,6,294320.0,100354.13,15490.53,6.9,18,1,0,Midsize,,5
C-618A057E8A45,Business,65+,M,South,,2024-01-12,2024-03-11,691,2,0,84671.14,0.0,42335.57,100.0,0,2,0,Ultra Long Range,,4
C-2813CC425657,Individual,35-44,M,South,2020-09-01,2024-05-31,2025-09-12,141,5,2,113704.0,64273.41,22740.8,16.6,4,1,0,Super Mid,,6
C-CA7E1AADCEE2,Individual,45-54,M,Northeast,2020-09-01,2024-07-18,2025-11-16,76,4,3,40108.45,30596.46,10027.11,26.0,3,1,0,Midsize,,6
C-D2E2AFEC2B9E,Individual,45-54,F,International,2020-05-01,2024-03-02,2026-01-21,10,6,3,136219.19,76707.13,22703.2,13.0,5,1,0,Super Mid,,6
C-378A5B658ADC,Individual,55-64,M,West,2020-05-01,2024-01-04,2024-01-04,758,1,0,48063.72,0.0,48063.72,16.0,1,0,0,Super Mid,9.0,6
C-3BB577340556,Individual,35-44,,West,2021-12-01,2025-01-11,2025-01-11,385,1,0,36663.47,0.0,36663.47,0.0,1,0,0,Light Jet,,2
C-D6B8B9DEB496,Individual,35-44,M,Northeast,2020-05-01,2024-08-26,2025-09-24,129,3,2,53966.55,38642.59,17988.85,8.0,2,1,0,Light Jet,,9
C-2C6D9C451069,Individual,55-64,M,Northeast,2021-12-01,2024-05-09,2024-12-22,405,2,0,56354.27,0.0,28177.14,21.0,2,0,0,Heavy Jet,,9
C-A15FAE81F0DD,Individual,45-54,M,South,2020-05-01,2024-01-24,2025-10-18,105,5,2,47891.79,20771.66,9578.36,11.6,5,0,0,Light Jet,,9
C-5506BADD2AEB,Individual,45-54,M,West,2020-06-01,2024-08-10,2025-12-19,43,7,5,136381.97,96192.62,19483.14,33.0,4,3,0,Super Mid,,1
C-3CC4DEE18ACA,Individual,55-64,M,International,2020-05-01,2024-04-11,2025-10-27,96,3,1,66190.47,16467.3,22063.49,4.3,2,1,0,Light Jet,,6
C-7E66B1E99465,Individual,45-54,M,West,2020-06-01,2025-05-23,2025-05-23,253,1,1,13262.75,13262.75,13262.75,5.0,0,1,0,Heavy Jet,0.0,2
C-61B9F92BEC3F,Individual,45-54,F,Midwest,2020-05-01,2024-11-02,2025-01-14,382,2,0,18610.98,0.0,9305.49,3.5,1,1,0,Midsize,10.0,3
C-E96715293AD4,Individual,45-54,M,West,2020-05-01,2024-03-16,2025-10-27,96,6,2,176756.22,51842.15,29459.37,16.7,4,2,0,Heavy Jet,,4
C-8178A5496B4D,Individual,35-44,M,South,2020-06-01,2024-01-07,2025-12-02,60,15,5,437799.97,153736.78,29186.66,35.1,2,13,0,Super Mid,8.0,5
C-0A51B1E5F422,Individual,65+,M,Midwest,2020-06-01,2024-07-24,2026-01-16,15,9,7,155435.09,107236.09,17270.57,16.4,8,1,0,Light Jet,,4
C-E7F34A13EE08,Individual,55-64,F,South,2020-06-01,2024-06-15,2025-10-24,99,8,4,148227.41999999998,71472.58,18528.43,,6,2,0,Midsize,,5
